Title,Prices,Sale text
LAND ROVER DEFENDER 110 2.0 D240 AWD 1ST EDITION (7ST) StationWagon,"['£34,000', '£33,900', '£33,800', '£33,700', '£33,600', '£33,400', '£33,200', '£33,000', '£32,800', '£32,600', '£32,400', '£32,200', '£32,000', '£31,800', '£31,600', '£31,400', '£31,200', '£31,000']",On Sale
FORD KUGA 2.5 E/B PHEV 2WD TITANIUM StationWagon,"['£11,100', '£11,000', '£10,900', '£10,800', '£10,700', '£10,600', '£10,500', '£10,400']",On Sale
VAUXHALL INSIGNIA ST 1.6 TURBO D 136 SRI VX-LINE Estate,"['£8,300', '£8,200', '£8,100', '£8,000', '£7,900', '£7,800', '£7,700', '£7,600', '£7,500', '£7,400', '£7,300', '£7,200', '£7,100', '£7,000', '£6,900', '£6,800']",On Sale
AUDI A4 2.0 35 TDI TECHNIK S-T Saloon,"['£11,100', '£11,000', '£10,900', '£10,800', '£10,700', '£10,600', '£10,500', '£10,400', '£10,300', '£10,200', '£10,100', '£10,000', '£9,900', '£9,800', '£9,700', '£9,600', '£9,500', '£9,400', '£9,300']",On Sale
LAND ROVER R/R EVOQUE 2.0 D165 4WD Hatchback,"['£17,000', '£16,900', '£16,800', '£16,700', '£16,600', '£16,500', '£16,400', '£16,300', '£16,200', '£16,100', '£16,000', '£15,900', '£15,800', '£15,700', '£15,600', '£15,500']",On Sale
MERCEDES-BENZ EQA 300 168KW 66KWH 4M AMG LINE Hatchback,"['£21,400', '£21,300', '£21,200', '£21,100', '£21,000', '£20,900', '£20,800', '£20,700', '£20,600', '£20,500', '£20,400', '£20,300', '£20,200', '£20,100', '£20,000', '£19,900', '£19,800', '£19,700', '£19,600', '£19,500']",On Sale
AUDI E-TRON 95KWH 55 Q BLACK ED. StationWagon,"['£23,200', '£23,100', '£23,000', '£22,900', '£22,800', '£22,700', '£22,600', '£22,500', '£22,400', '£22,300', '£22,200', '£22,100', '£22,000']",On Sale
MERCEDES-BENZ A250 E 1.3 AMG LINE DCT Saloon,"['£14,100', '£14,000', '£13,900']",On Sale
TOYOTA C-HR 1.8 HYBRID 122 DESIGN Hatchback,"['£15,500', '£15,400', '£15,300', '£15,200', '£15,100', '£15,000', '£14,900', '£14,800', '£14,700', '£14,600', '£14,500', '£14,400']",On Sale
MINI COOPER 1.5 CLASSIC STEP Hatchback,"['£9,300', '£9,200', '£9,100', '£9,000', '£8,900', '£8,800']",On Sale
AUDI Q4 E-TRON 40 150KW 83KWH S LINE StationWagon,"['£17,000', '£16,900', '£16,800', '£16,700', '£16,600', '£16,500', '£16,400', '£16,300', '£16,200', '£16,100', '£16,000']",On Sale
SEAT IBIZA 1.0 SE DESIGN Hatchback,"['£7,200', '£7,100', '£7,000', '£6,900', '£6,800', '£6,700', '£6,600', '£6,500', '£6,400', '£6,300', '£6,200', '£6,100', '£6,000']",On Sale
VOLKSWAGEN GOLF 1.4 TSI GTE Hatchback,"['£16,300', '£16,200']",On Sale
AUDI A3 SPORTBACK 1.4 40 TFSI E S LINE S-T Hatchback,"['£14,600', '£14,500', '£14,400', '£14,300', '£14,200', '£14,100', '£14,000', '£13,900', '£13,800']",Provisional
BMW 330E 2.0 T M SPORT Saloon,"['£15,600', '£15,500', '£15,400', '£15,300', '£15,200', '£15,100', '£15,000', '£14,900', '£14,800', '£14,700', '£14,600', '£14,500', '£14,400', '£14,300']",On Sale
TESLA MODEL 3 LONG RANGE AWD Saloon,"['£13,700', '£13,600', '£13,500', '£13,400', '£13,300', '£13,200']",Provisional
SKODA OCTAVIA 1.0 TSI 110 SE TECHNOLOGY Estate,"['£10,700', '£10,600', '£10,500']",On Sale
VOLKSWAGEN T-ROC 1.5 TSI EVO 150 SEL Hatchback,"['£11,300', '£11,200', '£11,100', '£11,000', '£10,900', '£10,800', '£10,700', '£10,600', '£10,500', '£10,400']",Provisional
