Name,Location,Images,Odometer,Reg No.,MOT,V5,Vat Status,Body Style,Engine,Gearbox,Stock #,1st Reg,Chassis No,Fuel Type,Drive Type,Exterior,Interior,Description,Features
2014 FORD S-MAX ZETEC TDCI ZETEC TDCI,"Lincoln Rd, NEWARK, CODDINGTON","https://www.newarkmotorauctions.co.uk/image/13875_w640_h480_0.jpg, https://www.newarkmotorauctions.co.uk/image/13875_w640_h480_0.jpg, /image/13875_w100_h75_0.jpg","79,681 mi",YW14CPK,2024-01-31,Here,STANDARD - NO VAT,OTHER,4 CYLINDERS,6 SPEED MANUAL DIESEL,500502,2014-08-01,WF0SXXGBWSEM75867,Diesel,4X2,BLUE,OTHER,na,
2014 FORD FIESTA TITANIUM ECONETIC TITANIUM ECONETIC TDCI,"Lincoln Rd, NEWARK, CODDINGTON","https://www.newarkmotorauctions.co.uk/image/13683_w640_h480_0.jpg, /image/13683_w640_h480_0.jpg, /image/13683_w100_h75_0.jpg","72,841 mi",AK64NAU,2025-03-20,No,STANDARD - NO VAT,HATCHBACK,4 CYLINDERS,5 SPEED MANUAL DIESEL,500447,2014-12-01,WF0DXXGAKDEG60535,Diesel,4X2,WHITE,OTHER,na,
2015 VAUXHALL ASTRA ELITE ELITE,"Lincoln Rd, NEWARK, CODDINGTON","https://www.newarkmotorauctions.co.uk/image/13679_w640_h480_0.jpg, /image/13679_w640_h480_0.jpg, /image/13679_w100_h75_0.jpg","110,782 mi",LD15PGO,2024-12-09,No,STANDARD - NO VAT,OTHER,4 CYLINDERS,5 SPEED MANUAL PETROL,500445,2015-05-01,W0LPE8ED6F8054163,PETROL,4X2,BROWN,OTHER,na,
2015 KIA RIO 2 ISG CRDI CRDI 2 ISG,"Lincoln Rd, NEWARK, CODDINGTON","https://www.newarkmotorauctions.co.uk/image/14097_w640_h480_0.jpg, /image/14097_w640_h480_0.jpg, /image/14097_w100_h75_0.jpg","101,462 mi",LB15XVU,2024-09-19,No,STANDARD - NO VAT,HATCHBACK,3 CYLINDERS,6 SPEED MANUAL DIESEL,500565,2015-07-01,KNADN515LF6717875,Diesel,4X2,BLACK,OTHER,na,
2019 VAUXHALL GRANDLAND X ELITE NAV T D ELITE NAV S/S,"Lincoln Rd, NEWARK, CODDINGTON","https://www.newarkmotorauctions.co.uk/image/14011_w640_h480_0.jpg, /image/14011_w640_h480_0.jpg, /image/14011_w100_h75_0.jpg","999,999 mi",EN19RKO,2025-05-19,No,STANDARD - NO VAT,HATCHBACK,4 CYLINDERS,6 SPEED MANUAL DIESEL,500531,2019-05-01,W0VZCYHZ5KS172814,Diesel,4X2,GREY,OTHER,na,
2013 VAUXHALL CORSA SE SE,"Lincoln Rd, NEWARK, CODDINGTON","https://www.newarkmotorauctions.co.uk/image/14117_w640_h480_0.jpg, /image/14117_w640_h480_0.jpg, /image/14117_w100_h75_0.jpg","94,272 mi",DU13FVT,2025-05-10,Here,STANDARD - NO VAT,HATCHBACK,4 CYLINDERS,5 SPEED MANUAL PETROL,500574,2013-03-01,W0L0SDL68D4107318,PETROL,4X2,SILVER,OTHER,na,
2017 CITROEN C3 FLAIR PURETECH PURETECH FLAIR,"Lincoln Rd, NEWARK, CODDINGTON","https://www.newarkmotorauctions.co.uk/image/14087_w640_h480_0.jpg, /image/14087_w640_h480_0.jpg, /image/14087_w100_h75_0.jpg",1 mi,AJ17OLK,2025-05-06,No,STANDARD - NO VAT,HATCHBACK,3 CYLINDERS,5 SPEED MANUAL PETROL,500560,2017-06-01,VF7SXHMZ6HT609614,PETROL,4X2,BLUE,OTHER,na,
2014 NISSAN NV200 ACENTA DCI DCI ACENTA,"Lincoln Rd, NEWARK, CODDINGTON","https://www.newarkmotorauctions.co.uk/image/14009_w640_h480_0.jpg, /image/14009_w640_h480_0.jpg, /image/14009_w100_h75_0.jpg","125,116 mi",DL64PVV,2024-07-30,No,STANDARD - NO VAT,VAN,4 CYLINDERS,5 SPEED MANUAL DIESEL,500530,2014-12-01,VSKYBAM20U0092240,Diesel,4X2,WHITE,OTHER,EQUIPMENT AND OPTIONS OF THIS NISSAN NV200 ACENTA DCI,"['Drivable, RevC, SatN']"
2015 VAUXHALL CORSA DESIGN CDTI ECOFLEX DESIGN CDTI ECOFLEX S/S,"Lincoln Rd, NEWARK, CODDINGTON","https://www.newarkmotorauctions.co.uk/image/13441_w640_h480_0.jpg, /image/13441_w640_h480_0.jpg, /image/13441_w100_h75_0.jpg","79,542 mi",WR65YJZ,2025-09-27,Here,STANDARD - NO VAT,HATCHBACK,ENGINE,5 SPEED MANUAL DIESEL,500352,2015-11-01,W0L0XEP68F4293163,Diesel,4X2,BLACK,OTHER,EQUIPMENT AND OPTIONS OF THIS VAUXHALL CORSA DESIGN CDTI ECOFLEX,"['Cruise Control', 'DABR, Drivable']"
2013 VOLVO V40 ES D2 D2 ES,"Lincoln Rd, NEWARK, CODDINGTON","https://www.newarkmotorauctions.co.uk/image/13425_w640_h480_0.jpg, /image/13425_w640_h480_0.jpg, /image/13425_w100_h75_0.jpg","160,706 mi",YB13LFZ,2025-01-25,Here,STANDARD - NO VAT,HATCHBACK,ENGINE,6 SPEED MANUAL DIESEL,500344,2013-07-01,YV1MV8481E2088617,Diesel,4X2,RED,OTHER,EQUIPMENT AND OPTIONS OF THIS VOLVO V40 ES D2,"['Cruise Control', 'DABR, Drivable']"
